City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,ratlam,23.3167,75.0667,18.43,28,100,5.55,IN,1708890910
163,cannonvale,-20.2833,148.7,26.66,91,98,5.07,AU,1708890911
164,lorengau,-2.0226,147.2712,25.78,87,100,4.98,PG,1708890912
165,susuman,62.7833,148.1667,-36.68,99,78,0.45,RU,1708890912
166,weno,7.4515,151.8468,27.97,94,100,3.09,FM,1708890913
167,okhotsk,59.3833,143.3,-27.15,86,2,3.85,RU,1708890913
168,ekibastuz,51.6667,75.3667,-10.28,94,99,5.14,KZ,1708890913
169,east london,-33.0153,27.9116,19.69,55,99,9.39,ZA,1708890914
170,la passe,45.5549,-0.8967,11.13,83,96,10.95,FR,1708890914
171,nabire,-3.3667,135.4833,24.72,92,100,0.99,ID,1708890914
172,kudymkar,59.0173,54.656,-5.44,82,100,5.11,RU,1708890915
173,bubaque,11.2833,-15.8333,26.52,63,61,5.85,GW,1708890915
174,nar'yan-mar,67.6713,53.087,-1.05,94,100,7.6,RU,1708890915
175,keflavik,64.0049,-22.5624,0.95,93,100,8.75,IS,1708890915
176,barro alto,-11.7608,-41.9117,26.97,54,69,3.62,BR,1708890916
177,alo,7.4178,6.7371,31.48,30,100,0.97,NG,1708890916
178,ephrata,40.1798,-76.1788,6.94,45,0,3.6,US,1708890696
179,mili,6.0815,171.735,27.46,83,86,6.81,MH,1708890917
180,buka,40.8108,69.1986,1.51,99,100,0.81,UZ,1708890917
181,san patricio,28.017,-97.5169,29.05,42,5,6.54,US,1708890917
182,hasaki,35.7333,140.8333,6.27,86,100,11.54,JP,1708890918
183,phang nga,8.4509,98.5298,26.02,88,2,1.83,TH,1708890918
184,toliara,-23.35,43.6667,27.29,79,100,0.84,MG,1708890918
185,knyaze-volkonskoye,48.4642,135.4567,-19.81,100,100,0.36,RU,1708890919
186,sao vicente,-23.9631,-46.3919,32.1,67,75,2.68,BR,1708890792
187,carauari,-4.8828,-66.8958,23.24,99,100,0.77,BR,1708890919
188,superior,46.7208,-92.1041,7.26,39,0,7.2,US,1708890920
189,santa barbara,34.7333,-120.0343,17.66,68,0,0.0,US,1708890920
190,souillac,-20.5167,57.5167,26.3,94,75,5.66,MU,1708890920
191,ribeira grande,38.5167,-28.7,16.54,94,75,6.17,PT,1708890921
192,lihue,21.9789,-159.3672,24.58,61,75,9.26,US,1708890921
193,monrovia,6.3005,-10.7969,28.87,81,2,5.35,LR,1708890921
194,kampene,-3.6,26.6667,21.13,100,100,0.96,CD,1708890922
195,vikarabad,17.3333,77.9,22.02,70,1,5.91,IN,1708890922
196,brownwood,31.7093,-98.9912,28.62,27,0,4.63,US,1708890922
197,la'ie,21.6477,-157.9253,24.5,66,33,3.13,US,1708890922
198,jamestown,42.097,-79.2353,7.77,26,9,4.47,US,1708890823
199,murray,40.6669,-111.888,15.56,30,0,6.17,US,1708890923
200,whitehorse,60.7161,-135.0538,-10.5,70,100,2.57,CA,1708890923
201,jacmel,18.2342,-72.5347,28.91,61,26,2.97,HT,1708890924
202,san antonio de pale,-1.4014,5.6325,28.19,76,83,5.59,GQ,1708890924
203,vila franca do campo,37.7167,-25.4333,18.27,99,34,4.53,PT,1708890925
204,vilyuysk,63.7553,121.6247,-38.32,100,100,0.62,RU,1708890925
205,salalah,17.0151,54.0924,25.05,69,40,2.06,OM,1708890925
206,machico,32.7,-16.7667,18.35,82,75,1.03,PT,1708890926
207,wynyard,-41.0,145.7167,11.29,63,0,5.14,AU,1708890926
208,waingapu,-9.6567,120.2641,26.54,82,100,2.16,ID,1708890927
209,brixham,50.3943,-3.5159,7.4,93,100,5.81,GB,1708890927
210,eqbaliyeh,35.3022,51.5358,0.9,91,100,0.74,IR,1708890927
211,emerald,-23.5333,148.1667,22.41,92,14,1.78,AU,1708890928
212,anadyr,64.75,177.4833,-21.67,83,100,4.0,RU,1708890928
213,las terrenas,19.311,-69.5428,30.93,62,20,4.12,DO,1708890928
214,san luis,-33.295,-66.3356,23.11,60,93,3.84,AR,1708890634
215,marovoay,-16.1,46.6333,26.64,86,83,2.4,MG,1708890929
216,ust-tsilma,65.441,52.1498,1.72,92,100,5.57,RU,1708890929
217,north bay,46.3168,-79.4663,1.64,74,100,7.72,CA,1708890901
218,hithadhoo,-0.6,73.0833,29.19,69,100,6.66,MV,1708890930
219,rocha,-34.4833,-54.3333,23.23,52,100,6.17,UY,1708890930
220,inhambane,-23.865,35.3833,28.99,83,75,5.36,MZ,1708890930
221,port alfred,-33.5906,26.891,17.32,73,15,2.68,ZA,1708890931
222,kouango,4.9934,19.9619,30.19,31,100,1.57,CF,1708890931
223,burao,9.5221,45.5336,21.78,39,42,3.74,SO,1708890931
224,shalqar,47.8333,59.6,-13.6,69,0,2.47,KZ,1708890931
225,narvik,68.4384,17.4272,3.67,71,100,5.02,NO,1708890932
226,izhmorskiy,56.194,86.6414,-15.67,98,100,1.61,RU,1708890932
227,reggane,26.7158,0.1714,19.24,15,0,4.79,DZ,1708890932
228,qamdo,31.1667,97.2333,-10.97,73,1,1.98,CN,1708890933
229,ust'-ilimsk,58.0006,102.6619,-24.76,99,100,0.45,RU,1708890933
